Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1967,0.079,0.085,-0.036,-0.018,-0.19,-0.264,-0.233,-0.167,-0.1,-0.103,-0.237,-0.156
1968,-0.249,-0.201,-0.212,-0.159,-0.127,-0.265,-0.232,-0.216,-0.153,-0.116,-0.111,-0.13
1969,-0.066,0.101,0.204,0.146,0.007,0.025,0.09,-0.104,-0.11,-0.188,-0.127,-0.035
1970,-0.014,-0.052,0.016,0.017,-0.05,-0.186,-0.203,-0.144,-0.141,-0.199,-0.244,-0.213
1971,-0.249,-0.295,-0.313,-0.416,-0.33,-0.366,-0.353,-0.438,-0.369,-0.238,-0.246,-0.311
1972,-0.321,-0.383,-0.442,-0.329,-0.472,-0.491,-0.378,-0.386,-0.306,-0.289,-0.28,-0.354
1973,-0.377,-0.396,-0.347,-0.267,-0.172,-0.178,-0.106,-0.136,-0.134,-0.218,-0.212,-0.241
1974,-0.278,-0.286,-0.404,-0.526,-0.502,-0.45,-0.517,-0.47,-0.508,-0.51,-0.428,-0.363
1975,-0.275,-0.341,-0.312,-0.348,-0.391,-0.298,-0.274,-0.187,-0.338,-0.356,-0.343,-0.324
1976,-0.387,-0.444,-0.496,-0.429,-0.49,-0.486,-0.309,-0.187,-0.195,-0.295,-0.418,-0.434
1977,-0.391,-0.335,-0.185,-0.219,-0.172,-0.109,-0.108,-0.147,-0.234,-0.226,-0.145,-0.207
1978,-0.108,-0.149,-0.16,-0.197,-0.206,-0.335,-0.278,-0.229,-0.192,-0.209,-0.121,-0.184
1979,-0.194,-0.153,-0.23,-0.239,-0.119,-0.043,-0.096,-0.117,-0.111,-0.089,-0.086,-0.061
1980,-0.003,-0.079,-0.14,-0.002,0.128,0.108,0.049,0.022,-0.009,-0.062,-0.198,-0.25
1981,-0.178,-0.177,0.005,-0.091,-0.08,-0.058,-0.091,-0.111,-0.032,-0.183,-0.133,-0.002
1982,-0.077,-0.075,-0.076,-0.179,-0.188,-0.18,-0.225,-0.305,-0.304,-0.367,-0.413,-0.376
1983,-0.294,-0.1,0.085,0.063,-0.044,-0.05,-0.011,-0.154,-0.212,-0.192,-0.154,0.001
1984,-0.103,-0.084,-0.121,-0.153,-0.162,-0.321,-0.262,-0.222,-0.205,-0.34,-0.42,-0.314
1985,-0.351,-0.326,-0.353,-0.397,-0.334,-0.124,-0.149,-0.278,-0.244,-0.242,-0.292,-0.333
1986,-0.34,-0.272,-0.289,-0.321,-0.225,-0.258,-0.245,-0.269,-0.216,-0.315,-0.394,-0.368
1987,-0.274,-0.214,-0.029,0.033,0.071,0.206,0.283,0.283,0.197,0.05,-0.067,0.046
1988,-0.039,-0.113,-0.008,0.053,0.139,0.167,0.11,-0.008,-0.095,-0.171,-0.147,-0.164
1989,-0.221,-0.156,-0.253,-0.29,-0.147,0.091,0.177,0.113,-0.095,-0.124,-0.15,-0.153
1990,-0.299,-0.162,-0.179,-0.118,-0.059,-0.057,-0.022,0.052,0.146,0.112,-0.054,-0.037
1991,-0.196,-0.118,-0.07,-0.134,-0.155,-0.131,-0.109,-0.11,-0.039,-0.264,-0.263,-0.215
1992,-0.192,-0.096,-0.094,-0.186,-0.224,-0.153,-0.221,-0.383,-0.372,-0.302,-0.337,-0.287
1993,-0.242,-0.189,-0.247,-0.176,-0.166,-0.184,-0.28,-0.231,-0.167,-0.246,-0.321,-0.296
1994,-0.299,-0.312,-0.282,-0.203,-0.21,-0.225,-0.234,-0.239,-0.156,-0.063,-0.023,-0.094
1995,-0.066,-0.043,0.013,0.072,0.268,0.36,0.31,0.179,0.05,0.098,0.123,0.038
1996,-0.014,-0.036,-0.061,0.005,-0.069,-0.128,-0.109,-0.012,-0.006,-0.149,-0.178,-0.159
1997,-0.095,-0.04,0.001,0.003,0.036,0.004,0.056,0.011,0.105,0.146,0.047,0.127
1998,0.126,0.287,0.317,0.287,0.379,0.485,0.483,0.508,0.408,0.378,0.313,0.275
1999,0.046,0.053,0.065,0.048,0.158,0.176,0.194,0.303,0.18,0.013,-0.053,0.01
2000,-0.088,-0.042,0.099,0.038,0.101,-0.022,0.068,0.098,0.097,-0.044,-0.057,-0.131
2001,-0.132,-0.031,0.01,-0.016,-0.014,0.194,0.131,0.173,0.282,0.247,0.152,0.209
2002,0.177,0.161,0.14,0.023,-0.053,-0.121,-0.07,0.102,0.075,0.107,0.015,0
2003,0.046,-0.017,0.108,0.075,0.147,0.201,0.272,0.411,0.447,0.422,0.219,0.22
2004,0.206,0.205,0.153,0.104,0.001,0.173,0.223,0.312,0.236,0.238,0.216,0.183
2005,0.106,0.121,0.28,0.288,0.289,0.322,0.442,0.435,0.414,0.233,0.136,0.212
2006,0.119,0.07,0.056,0.193,0.304,0.329,0.37,0.397,0.36,0.33,0.284,0.167
2007,0.167,0.213,0.123,0.155,0.107,0.084,0.124,0.05,0.094,0.153,0.172,0.106
2008,0.026,0.124,0.154,0.038,0.168,0.252,0.201,0.17,0.194,0.098,-0.003,0.014
2009,-0.063,-0.169,-0.164,-0.135,-0.066,0.117,0.224,0.148,0.053,0.16,0.065,0.078
2010,0.035,0.173,0.283,0.421,0.455,0.443,0.446,0.521,0.445,0.319,0.231,0.203
2011,0.139,0.103,0.051,0.087,0.147,0.174,0.087,0.142,0.14,0.058,-0.075,-0.049
2012,-0.07,0,0.021,0.075,0.16,0.295,0.371,0.426,0.444,0.325,0.16,0.136
2013,0.123,0.111,0.153,0.132,0.096,0.042,0.185,0.19,0.25,0.342,0.123,0.032
2014,-0.067,-0.047,-0.086,-0.099,-0.006,0.057,0.217,0.33,0.305,0.287,0.06,0.054
2015,-0.013,-0.009,-0.134,-0.077,0.04,0.024,0.127,0.173,0.295,0.319,0.181,0.224
2016,0.226,0.151,0.183,0.172,0.339,0.404,0.427,0.451,0.453,0.375,0.385,0.33
2017,0.22,0.222,0.162,0.278,0.309,0.303,0.297,0.305,0.345,0.428,0.347,0.359
2018,0.168,0.057,0.127,0.058,-0.006,-0.016,0.012,0.107,0.157,0.138,-0.126,-0.065
